Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
A U G U S T,17,The Wife,Sony Pictures Classics,"Björn Runge (director); Jane Anderson (screenplay); Glenn Close, Jonathan Pryce, Christian Slater, Max Irons, Annie Starke, Harry Lloyd, Elizabeth McGovern",[148],Drama
A U G U S T,17,Billionaire Boys Club,Vertical Entertainment,"James Cox (director/screenplay); Captain Mauzner (screenplay); Ansel Elgort, Taron Egerton, Emma Roberts, Kevin Spacey, Jeremy Irvine, Thomas Cocquerel, Rosanna Arquette, Cary Elwes, Judd Nelson",[149],Drama Thriller
A U G U S T,17,"Juliet, Naked",Lionsgate / Roadside Attractions,"Jesse Peretz (director); Tamara Jenkins, Jim Taylor, Evgenia Peretz (screenplay); Rose Byrne, Ethan Hawke, Chris O'Dowd, Denise Gough, Phil Davis",[150],Comedy Drama Romance
A U G U S T,17,Down a Dark Hall,Summit Entertainment,"Rodrigo Cortés (director); Michael Goldbach, Chris Sparling (screenplay); AnnaSophia Robb, Isabelle Fuhrman, Victoria Moroles, Noah Silver, Taylor Russell, Rosie Day, Uma Thurman",[151],Horror Mystery Thriller Fantasy Drama
A U G U S T,17,To All the Boys I've Loved Before,Netflix,"Susan Johnson (director); Sofia Alvarez (screenplay); Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, King Bach, Trezzo Mahoro, Madeleine Arthur, Emilija Baranac, Israel Broussard, John Corbett",,Comedy Romance
A U G U S T,24,The Happytime Murders,STX Entertainment / Henson Alternative / On the Day Productions,"Brian Henson (director); Todd Berger (screenplay); Melissa McCarthy, Bill Barretta, Joel McHale, Maya Rudolph, Leslie David Baker, Elizabeth Banks",[152],Action Comedy Crime
A U G U S T,24,Searching,Screen Gems / Stage 6 Films,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); John Cho, Debra Messing",[153],Thriller Mystery Drama
A U G U S T,24,Papillon,Bleecker Street,"Michael Noer (director); Aaron Guzikowski (screenplay); Charlie Hunnam, Rami Malek, Roland Møller, Yorick van Wageningen, Eve Hewson",[154],Drama
A U G U S T,24,A.X.L.,Global Road Entertainment,"Oliver Daly (director/screenplay); Alex Neustaedter, Becky G, Alex MacNicoll, Dominic Rains, Thomas Jane",[155],Science Fiction Action Adventure Family
A U G U S T,29,Operation Finale,Metro-Goldwyn-Mayer,"Chris Weitz (director); Matthew Orton (screenplay); Oscar Isaac, Ben Kingsley, Mélanie Laurent, Lior Raz, Nick Kroll, Haley Lu Richardson",[156],Drama History Thriller
